policy_n,policy_code,policy_name,sector,display_label,source,lag,best_group,r,alignment_status,alignment_grade,n_ptei
39,P39,의대증원,바이오/제약,PTEI 정책수용 신호,ptei_policy_acceptance,10,KOSDAQ·대기업,0.8451,방향 정합,강한 정합,8272
40,P40,단계적 일상회복 전환,바이오/제약,PTEI 정책수용 신호,ptei_policy_acceptance,10,KOSPI·대기업,0.6764,방향 정합,높은 정합,7044
41,P41,녹색성장,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSDAQ·소기업,0.9446,방향 정합,강한 정합,3942
42,P42,탄소중립 선언,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSDAQ·소기업,0.9174,방향 정합,강한 정합,1036
43,P43,수소경제 로드맵,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSPI·소기업,0.9072,방향 정합,강한 정합,1802
44,P44,재생에너지 3020,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSDAQ·대기업,0.4685,방향 정합,보통 정합,1485
45,P45,새정부 에너지정책 방향,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSDAQ·소기업,0.8426,방향 정합,강한 정합,1204
46,P46,미국 IRA,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSPI·대기업,0.3057,방향 정합,약한 정합,1325
47,P47,탄소중립기본법,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSDAQ·대기업,0.8391,방향 정합,강한 정합,1145
48,P48,전기요금 조정 정책,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSPI·대기업,0.8372,방향 정합,강한 정합,1407
49,P49,전기차 보조금 정책,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSPI·대기업,0.8464,방향 정합,강한 정합,1229
50,P50,그린뉴딜,2차전지/에너지,LLM 정책전환 반응 신호,llm_transition_response,20,KOSDAQ·소기업,0.1834,방향 정합,약한 정합,5164
